id,category,module,file,symbol,line,aggregateTypes,tenantScoped,idempotent,mutationOwner,bypassesCommand,runtimeReachability,deployedEvidence,disposition
1,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,taskManagement_tool,600,Task,COPY_FROM_CONTEXT,true,TASK_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
2,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,projectManagement_tool,805,Project,COPY_FROM_CONTEXT,true,PROJECT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
3,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,pauseAgent_tool,906,Agent,COPY_FROM_CONTEXT,true,AGENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
4,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,resumeAgent_tool,939,Agent,COPY_FROM_CONTEXT,true,AGENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
5,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateDepartment_tool,1025,Department,COPY_FROM_CONTEXT,true,DEPARTMENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
6,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,deactivateDepartment_tool,1048,Department,COPY_FROM_CONTEXT,true,DEPARTMENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
7,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,deleteDepartment_tool,1072,Department,COPY_FROM_CONTEXT,true,DEPARTMENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
8,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,setDepartmentHead_tool,1099,Department,COPY_FROM_CONTEXT,true,DEPARTMENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
9,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,removeDepartmentHead_tool,1122,Department,COPY_FROM_CONTEXT,true,DEPARTMENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
10,TOOL_MUTATION,tools,src/modules/tools/built-in/neurecore-tools.ts,updateAgent_tool,1176,Agent,COPY_FROM_CONTEXT,true,AGENT_TOOL,MULTIPLE,HERMES_TOOL_GATEWAY,DIRECT_PRISMA,blocker
