id,category,module,file,symbol,line,mechanism,workerType,leaseBehavior,retryBehavior,horizontalScaling,shutdownHandling,deployedReachability,disposition
1,EVENT_WORKER,enterprise-events,src/modules/enterprise-events/transport/enterprise-event-transport.service.ts,startWorkers,473,setInterval(1000ms),DB_POLLER,ROW_LOCK_30S,EXPONENTIAL_BACKOFF_1s_4s_16s,YES_MULTI_REPLICA,graceful_clearInterval,HERMES_LANGGRAPH_TOOL_GATEWAY,implemented_partial
2,EVENT_WORKER,enterprise-events,src/modules/enterprise-events/consumers/ui-projection.consumer.ts,registerConsumer,34,INBOX_CONSUMER,SUBSCRIBED,N/A,N/A,YES,N/A,HERMES_EVENT_SUBSCRIPTION,implemented
3,EVENT_WORKER,enterprise-events,src/modules/enterprise-events/consumers/work-runtime-events.consumer.ts,registerConsumer,58,INBOX_CONSUMER,SUBSCRIBED,N/A,N/A,YES,N/A,WORK_RUNTIME_SUBSCRIPTION,implemented
4,EVENT_WORKER,enterprise-events,src/modules/enterprise-events/consumers/audit.consumer.ts,registerConsumer,36,INBOX_CONSUMER,SUBSCRIBED,N/A,N/A,YES,N/A,AUDIT_SUBSCRIPTION,implemented
5,AUTOMATION_WORKER,project-automation,src/modules/project-automation/project-automation.service.ts,onProjectCreated,46,EVENT_TRIGGERED,OUTBOX_LISTENER,N/A,N/A,YES,N/A,PROJECT_CREATED_EVENT,implemented
6,AUTOMATION_WORKER,project-automation,src/modules/project-automation/services/role-template.service.ts,spawnAgentsFromTemplate,varies,EVENT_TRIGGERED,DIRECT,N/A,N/A,YES,N/A,PROJECT_AUTOMATION,needs_review
7,LANGGRAPH_NODE,hermes,src/modules/hermes/langgraph/hermes-node.ts,execute,23,LANGGRAPH_NODE,STATELESS_GRAPH,N/A,N/A,YES,N/A,HERMES_RUNTIME,partial_hermes_node
8,TOOL_GATEWAY,hermes,src/modules/hermes/services/tool-gateway.service.ts,executeTool,varies,TOOL_REGISTRY,CALLER_PROVIDED,N/A,N/A,YES,N/A,HERMES_TOOL_EXECUTION,needs_refactor
9,WORK_RUNTIME,work-runtime,src/modules/work-runtime/runtime/work-runtime.service.ts,executeWork,varies,COMMAND_TRIGGERED,OUTBOX_LISTENER,N/A,N/A,YES,N/A,WORK_EXECUTION_GATEWAY,absent_canonical_path
10,RECOVERY_TIMER,enterprise-events,src/modules/enterprise-events/transport/enterprise-event-transport.service.ts,recoverStale,394,setInterval(10000ms),DB_POLLER,ROW_LOCK,N/A,YES,graceful,N/A,implemented
11,RETRY_TIMER,enterprise-events,src/modules/enterprise-events/transport/enterprise-event-transport.service.ts,retryFailed,366,setInterval(10000ms),DB_POLLER,N/A,EXPONENTIAL,YES,graceful,N/A,implemented
